Sr No,Movie Name,Storyline,,,,,,,,,
589, Spilt Milk,"11 year-old boy dreams of becoming a great detective like his TV hero Kojak. He sets up a private investigation with his best friend, but the disappearance of his older brother sets them off down a dark path.",,,,,,,,,
590, Drie dagen vis,"This black-and-white drama/comedy explores the strained relationship between Gerrie and his son Dick during their annual three-day reunion in Rotterdam, with the looming threat that this might be Gerrie's last visit.",,,,,,,,,
591, Kabitan,"Alice, a depressed mistress, forms a deep emotional and sexual bond with Mika, her neighbor, who is also a mistress. Then, the inevitable happens, they fall for each other.",,,,,,,,,
592, Buy Now! The Shopping Conspiracy,"Pulls back the curtain on the world's top brands, exposing the hidden tactics and covert strategies used to keep all of us locked in an endless cycle of buying, no matter the cost.",,,,,,,,,
593, Boundless,"Detective Mørck and team reopen a cold case on Bornholm Island involving a girl's death, a cult, and missing women. Mørck must solve the case and confront his past to move forward with his fiancée.",,,,,,,,,
594, Faye,Faye Dunaway reflects on her life and candidly discusses the triumphs and challenges of her illustrious career.,,,,,,,,,
595, Aavesham,Three teenagers reach Bangalore for their engineering degree and gets involved in a fight with seniors. They find a local gangster named Ranga to help them take revenge.,,,,,,,,,
596, Unit 234,"After the shocking discovery of an unconscious man in a locked unit, the lone employee of a remote storage facility must fight to survive the night against a ruthless gang, dead set on retrieving their precious cargo - at any cost.",,,,,,,,,
597, Things Will Be Different,"In order to escape police after a robbery, two estranged siblings lie low in a farmhouse that hides them away in a different time. There they reckon with a mysterious force that pushes their familial bonds to unnatural breaking points.",,,,,,,,,
598, Second Life,"Whilst serving a prison sentence for killing a gang boss, Liang gives birth to a boy who is put into welfare. 30 years later, Liang is released from prison, and the gang send blind Ah Gui to pose as Liang's blind son so he can kill her.",,,,,,,,,
599, The Soul Eater,"When violent and gruesome deaths starts plaguing a small mountain village, an old legend about a malevolent creature resurfaces.",,,,,,,,,
600, Omni Loop,"A woman from Miami, Florida decides to solve time travel in order to go back and be the person she always intended to.",,,,,,,,,
601, Liza: A Truly Terrific Absolutely True Story,"A tribute to a young artist of unlimited raw talent and the deep, creative relationships she has with her mentors and influences.",,,,,,,,,
602, Love in the Big City,"Misunderstood as more than friends, roommates Jae-hee and Heung-soo navigate the complexities of modern romance in Seoul's big city.",,,,,,,,,
603, Linda Perry: Let It Die Here,"An intimate look at Linda Perry's personal and professional life as one of pop music's major creative forces as a multi-faceted singer, songwriter and producer.",,,,,,,,,
604, The Last Breath,A group of old college friends reunite on a Caribbean scuba diving trip exploring the wreckage of a WWII battleship and find themselves trapped inside the underwater labyrinth of rusted metal surrounded by great white sharks.,,,,,,,,,
605, Four Mothers,A writer about to publish his new novel is forced to take care of three eccentric older women - and his own mother - over the course of one chaotic weekend in Dublin.,,,,,,,,,
606, The True Story of Tamara de Lempicka & The Art of Survival,"Life of renowned Art Deco painter Tamara de Lempicka from 1920s Paris rise to stardom, move to US fleeing fascism in 1940, and revival in current art market, through powerful paintings depicting high society, nudes, and her lifestyle.",,,,,,,,,
607, Two to One,"After the fall of the Berlin Wall, a communist family discovers a bunker full of money soon to be worthless. With the help of their neighbors, they embark on a race against time to enter the capitalist world in style.",,,,,,,,,
608, Chandu Champion,A man who faced one adversary after another with an undying spirit. His unwavering zeal and never give up attitude led to India's first individual gold medal in any form of the Olympics.,,,,,,,,,
609, Panda Plan,International action superstar Jackie Chan is involved in a rescue operation of a beloved zoo panda named Hu Hu.,,,,,,,,,
610, Sex-Positive,"Virginia tumbles into a wild and thrilling new world of sexual liberation when she moves in with a group of polyamorous party animals, including the charming but commitment-phobic Jake.",,,,,,,,,
611, Bogart: Life Comes in Flashes,"Explores the iconic actor's journey to stardom through his relationships with his mother and four wives, including Lauren Bacall, using rare footage and his own narration to offer an intimate portrait of a deserving star.",,,,,,,,,
612, Manas,"Aware that the future does not hold many options for her in a riverside community on Marajó Island, a 13-year-old girl decides to confront the violent machinery that governs her family and the women in her community.",,,,,,,,,
613, Messy,"Follows the life of brutally self-aware, promiscuous, love addict Stella Fox, who moves to New York after a devastating breakup, and all her disappointing romantic dalliances over the course of a summer.",,,,,,,,,
614, Humane,"In the wake of an environmental collapse that is forcing humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",,,,,,,,,
615, The Supremes at Earl's All-You-Can-Eat,"Lifelong friends, three women share an unbreakable bond after decades of weathering life's storms. Now, through new heartbreaks, the trio is put to the test as they face one of their most challenging moments.",,,,,,,,,
616, Maharaj,"Based on a real-life historic court case, a bold journalist questions a revered leader's immoral behavior.",,,,,,,,,
617, House of Sayuri,"A family moves into a house, but discover that it is haunted by a murdered girl.",,,,,,,,,
618, A Little Something Extra,"To escape the police, a son and his father find refuge in a summer camp for young adults with disabilities, posing as a resident and his educator. The beginning of trouble and a wonderful human experience that will change them forever.",,,,,,,,,
619, Succubus,"A new father struggling with fatigue, emotional insecurities, and a failing marriage joins a dating app, only to swipe right on what may be an inhuman presence.",,,,,,,,,
620, Tura!,"Documentary on the life of Faster, Pussycat. Kill. Kill. star/Asian American actress Tura Satana. A wild ride chronicling Tura's brutal childhood, burlesque career, cult movie stardom, and impact as a female icon and cinema pioneer.",,,,,,,,,
621, Werewolves,"After a worldwide pandemic the previous year of people turning into werewolves after a super-moon event, two scientists try to stop the mutation from happening again as part of a team effort, but the experiment goes wildly awry.",,,,,,,,,
622, Vina: Before 7 Days,"Vina, a victim of a motorbike gang's atrocities in Cirebon, refuses to accept her death being labeled an accident. Her spirit intervenes within the seven days preceding the incident to reveal the truth behind what really happened.",,,,,,,,,
623, Latency,"When Hana, a professional gamer who suffers from acute agoraphobia, receives new equipment that enhances her game, she begins to wonder if it is reading her mind - or controlling it.",,,,,,,,,
624, You Can't Run Forever,A teenage girl suffering from anxiety due to a tragic event from her past finds herself hunted through the woods by a sociopath on a murderous rampage.,,,,,,,,,
625, How to Make Gravy,"A feature film adaptation of Australian music legend Paul Kelly's classic song, 'How to Make Gravy'.",,,,,,,,,
626, Earthquake Underground,"After a massive earthquake submerges a hotel, a young architect must overcome all odds to save his pregnant girlfriend before the structure collapses.",,,,,,,,,
627, In the Summers,"On a journey that spans the formative years of their lives, two sisters navigate their loving but volatile father during their yearly summer visits to his home in Las Cruces, New Mexico.",,,,,,,,,
628, Black Box Diaries,"Journalist Shiori Ito investigates her own sexual assault, seeking to prosecute the high-profile offender. Her quest becomes a landmark case, exposing Japan's outdated judicial and societal systems.",,,,,,,,,
629, Bad Shabbos,An engaged interfaith couple are about to have their parents meet for the first time over a Shabbat dinner when an accidental death gets in the way.,,,,,,,,,
630, Checkmates,"After a traumatic divorce, Candela loses her job at an elite school. So she has to return to the neighborhood she left and ask for help from her sister and father, and teach at her old high school to students with integration problems.",,,,,,,,,
631, The Flood,Follows the last days of Louis XVI and Marie Antoinette before they were executed.,,,,,,,,,
632, Exhibiting Forgiveness,"A Black artist on the path to success is derailed by an unexpected visit from his estranged father, a recovering addict desperate to reconcile. Together, they struggle and learn that forgetting might be a greater challenge than forgiving.",,,,,,,,,
633, Aftermath,"A returning war veteran, stricken with PTSD, unwittingly gets trapped with his teenage sister on Boston's Tobin Memorial Bridge as a heavily weaponized group of ex-military revolutionists take everyone hostage.",,,,,,,,,
634, Mary,"In this timeless coming-of-age story, Mary is shunned following an otherworldly conception and forced to flee when Herod's insatiable thirst for power ignites a murderous pursuit for the newborn.",,,,,,,,,
635, One More Shot,"Following the attack on the black site in Poland, Navy SEAL Jake Harris is ordered to escort terrorist suspect Amin Mansur to Washington D.C for interrogation.",,,,,,,,,
636, #MissingCouple,"A real #vanlife couple were on an adventure to renovate an abandoned farm in middle-of-nowhere Mississippi. Cameras blazing, they chronicled their project on social media. But the farm was full of disturbing surprises, especially at night.",,,,,,,,,
637, Prey,A young couple is compelled to leave their Christian missionary station in the Kalahari Desert after being threatened with death by an extremist militant gang. After crashing their aircraft they must battle man and beast for their lives.,,,,,,,,,
638, Maidaan,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",,,,,,,,,
639, The Playroom,"Fırat and Filiz come to a small hotel called Evcilik on the Aegean coast to add some color to their boring lives, and they disturb the owner of the hotel and his wife by imitating their accents and their love for each other.",,,,,,,,,
640, Thelma the Unicorn,"A singing pony who dreams of stardom finds instant fame when she transforms into a sparkly unicorn, but becoming a celebrity is one wild ride.",,,,,,,,,
641, Levels,"After witnessing his girlfriend's murder, a man risks everything - including reality itself - to discover the truth.",,,,,,,,,
642, When Fall Is Coming,"Michelle, a retiree in Burgundy, expects her grandson Lucas but a mistake ruins her plans. Her friend Marie-Claude's son is released from prison, reviving Michelle's purpose.",,,,,,,,,
643, Space Cowboy,"Joe Jennings, a pioneer of skydiving cinematography, looks back on creating iconic moments in film and television, while he tries to turn a dreamlike vision into reality.",,,,,,,,,
644, In Our Blood,"Filmmaker Emily Wyland reunites with estranged mother for documentary. When mother disappears, Emily and cinematographer Danny pursue clues to her whereabouts amidst traces of her past addictions.",,,,,,,,,
645, Art of Love,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",,,,,,,,,
646, Sasquatch Sunset,A year in the life of a unique family. It captures the daily life of the Sasquatch with a level of detail and rigor that is simply unforgettable.,,,,,,,,,
647, A Want in Her,"Myrid searches for her missing mother in Ireland, facing family disputes over property, life-threatening secrets; her journey explores love's influence and struggle for freedom.",,,,,,,,,
649, Push,Follows a realtor who must survive a night of terror when a deranged client shows up at her open house.,,,,,,,,,
650, Haunted Heart,"When Alex joins the team of a boutique seaside restaurant, sexual tensions rise as she falls for the enigmatic restaurant manager Max. Blinded by her feelings, the relationship slowly slides into a harrowing tale of survival.",,,,,,,,,
651, Breathe,"An East Flatbush mother and daughter, barely surviving in an oxygen-less world, must band together to protect each other when intruders arrive claiming to know their missing father.",,,,,,,,,
652, Dahomey,"The journey of 26 plundered royal treasures from the Kingdom of Dahomey exhibited in Paris, now being returned to Benin. Diop artistically voices a new generation's demands.",,,,,,,,,
653, Traces of Love,"After Laura abandons him at the altar, Marco Antonio. who always thought he was a perfect fiancé, starts to time travel whenever he hears the couple's favorite song, ""Evidências.""",,,,,,,,,
654, Lake George,"Two misfit oddballs embark on a road trip, strike a dubious deal too enticing to refuse, and find redemption amid shady circumstances.",,,,,,,,,
655, Terminator: Skynet Rising,"Since Legion was destroyed, the machines have been working to restore Skynet. Now the resistance has discovered their plans and must find a way to prevent them.",,,,,,,,,
656, Burning Butterflies,"A Lovecraftian horror with jump-scare and gore elements, which will keep the audience to the edge of their seats with bated breath: it explores the uncertainty and absurdity of life unfolding a dark reality.",,,,,,,,,
657, Jim Henson: Idea Man,"A trip into the mind of creative visionary Jim Henson, from his early years puppeteering on local television to the worldwide success of Sesame Street (1969), The Muppet Show (1976), and beyond.",,,,,,,,,
658, Checkmate,"In a tangled web of power and love, the lives of a pharmaceutical company CEO, a failed Don, a grieving widower, and a shrewd lawyer intersect when a mysterious woman is kidnapped, sparking a chain of events in New York City's underbelly.",,,,,,,,,
659, To a Land Unknown,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,,,,,,,,,
660, Stealing Pulp Fiction,"It follows Jonathan, Elizabeth and Steve as they try to steal Quentin Tarantino's personal print of Pulp Fiction (1994).",,,,,,,,,
661, Lola,"Lola James works to save enough money to get her little brother, Arlo, out of their toxic home. Arlo keeps her hopeful, until one tragic night, when her whole world gets uprooted. From that moment on, nothing will ever be the same.",,,,,,,,,
662, You Gotta Believe,"A Little League baseball team of misfits dedicates their season to a player's dying father. In doing so, they accomplish the impossible by reaching the World Series finals in a game that became an ESPN instant classic.",,,,,,,,,
663, Malayalee from India,An unemployed young man named Aalparambil Gopi is compelled to embark on a journey away from his home. This unplanned trip ultimately changes the course of his life in a remarkable way.,,,,,,,,,
664, Stormskerry Maja,"Seventeen-year-old Maja marries Janne, a fisherman, against her will. Her life on Stormskäret is full of challenges and setbacks. As a fisherman's wife, she has to fend for herself and take care of the family when her husband is at sea.",,,,,,,,,
665, Taboo: Family Secrets,"The infidelities by patriarch Lukas divide the family. His Son Tyler visit sparks a taboo relationship with his stepmother Amanda, forever altering the dynamics and loyalties after certain revelations.",,,,,,,,,
666, Paranormal Cuma,"This is the story of a man whose clumsiness lands him in unexpected situations. His clumsiness wreaks havoc on the hospital's electrical system, and he wreaks havoc on the hospital while trying to make up for his mistake.",,,,,,,,,
667, All That We Love,"Upon the loss of her beloved dog, Emma faces an empty nest and renewed feelings for her estranged ex-husband, as she navigates the joy and sorrow of starting anew.",,,,,,,,,
668, Superboys of Malegaon,"The journey of an aspiring filmmaker as he bands together his group of friends to make a film for his town, Malegaon.",,,,,,,,,
669, Seeking Haven for Mr,"On a quest to save Rambo, his dog and best friend; Hassan is forced to confront the fears of his past and rediscovers himself.",,, Rambo,,,,,,
670, This Is Me,This narrative-driven odyssey that coincides with the release of her same-named album tells the story of Jennifer Lopez's journey to love through her own eyes.,,,,, Now,,,,
671, Moon,"A former martial artist hired to train three wealthy Jordanian sisters finds her ""dream job"" turning unsettling as the isolated young women are under constant surveillance and show no interest in the sport. Why was she really hired?",,,,,,,,,
672, The A-Frame,"A quantum physicist develops a machine that creates a tunnel to a subatomic universe. In his quest to prove the machine's efficacy, he inadvertently discovers a radical treatment for cancer.",,,,,,,,,
673, Boot Camp,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations.",,,,,,,,,
674, Wanted Man,"Follows a police officer who must retrieve an eyewitness and escort her after a cartel shooting leaves several DEA agents dead, but then he must decide who to trust when they discover that the attack was executed by American forces.",,,,,,,,,
675, Queen of Bones,"In 1931 Oregon, twins Lily and Sam defy their father's silence to uncover the dark supernatural ties behind their mother's death on their isolated homestead.",,,,,,,,,
676, Pin/Ya,Two girls' deep childhood friendship evolves into romance as Pin and Aya explore their desires and discover feelings beyond friendship. They must decide whether to risk what they have for love.,,,,,,,,,
677, Monsieur Aznavour,"Follows the beginnings of the iconic French-Armenian singer, songwriter and actor, Charles Aznavour, from zero to fame.",,,,,,,,,
678, Everyone Is Going to Die,An entrepreneur is attempting to reconnect with his daughter on her Birthday. The party is interrupted and they are taken hostage by two masked female robbers who appear to have real problems with the Patriarchy.,,,,,,,,,
679, Elton John: Never Too Late,"It showcases never-before-seen concert footage of him over the past 50 years, as well as hand-written journals and present-day footage of him and his family.",,,,,,,,,
680, The Code,"Follows the misadventures of a sexless couple, as their relationship falls into shambles in the early part of the pandemic.",,,,,,,,,
681, Classified,A career CIA hitman who's been solely using the classified section of various newspapers to receive his orders suddenly discovers that his division's actually been shut down for years.,,,,,,,,,
682, Rent Free,"After hitting emotional and financial rock bottom, best friends Ben and Jordan come up with a scheme to spend an entire year living ""rent free"" with the help of friends, family and strangers alike in a rapidly changing Austin.",,,,,,,,,
683, Sunlight,"A hilariously dark and unconventional love story, following two people on the edge of life who find purpose and romance through an unlikely connection, escaping the darkness in search of some sunlight.",,,,,,,,,
684, Hold Your Breath,"In 1930s Oklahoma amid the region's horrific dust storms, a woman is convinced that a sinister presence is threatening her family.",,,,,,,,,
685, The Blue Angels,Follows the veterans and newest class of Navy and Marine Corps flight squadron as they go through intense training and into a season of heart-stopping aerial artistry.,,,,,,,,,
686, Persona,"A woman wakes up locked in a house, injured with no memory. She's terrified and a little relieved to find a woman bound in another room. These 2 strangers must work together to figure out what's really going on before the door is unlocked.",,,,,,,,,
687, Vampire Zombies,"In 1957, the small town of Marlow is under attack by: see title",,,,, From Space!,,,,
688, Nobu,"Nobu examines culinary legend Nobuyuki Matsuhisa's empire, offering an intimate portrait of a man who has redefined global gastronomy.",,,,,,,,,
689, Mukadderat,After the loss of her husband Sultan wants to remarry. Thus she finds herself in a new way.,,,,,,,,,
690, Five Blind Dates,"A fortune teller tells a woman that on one of the next five blind dates she goes on, she will meet her soulmate.",,,,,,,,,
691, The Trainer,"Follows Jack, a fitness expert living with his mother in Los Angeles, who takes a maniacal swing at fame and fortune pursuing his version of the American dream.",,,,,,,,,
692, Street Trash,A group of homeless misfits must fight for survival when they discover a plot to exterminate every homeless person in the city.,,,,,,,,,
693, Do Aur Do Pyaar,"A couple on the brink of a breakup are cheating on each other with two sexy outsiders. Whilst they're waiting to reveal their secret and go their separate ways, life has other plans for them.",,,,,,,,,
694, Legend of the White Dragon,"In the Aftermath, the city was left decimated. A past reminder of the great battle and fall of heroes. The heroes were blamed, stripped of their titles and hunted.",,,,,,,,,
695, The Shepherd and the Bear,"An aging shepherd struggles to find a successor as bears prey on his flock. While, a teenage boy becomes obsessed with tracking the bears.",,,,,,,,,
696, Held Hostage in My House,A single mother becomes trapped inside her own vacation rental and must piece together clues from the various guests who have stayed there in order to figure out who assaulted her and hopefully survive.,,,,,,,,,
697, Protein,"A gym-obsessed serial killer murders and eats a local drug dealer for their protein, inadvertently sparking a brutal and bloodthirsty turf war between rival gangs.",,,,,,,,,
698, Nobody Dumps My Daughter,"After Jimmy breaks up with Theresa, her obsessive mother Mary tries desperately to reunite them, even hiring a hitman to kill Jimmy when bribing him fails.",,,,,,,,,
699, Grave Torture,Telling about the punishment of the grave which occurred after a man was buried.,,,,,,,,,
700, Love at 39 Degrees,"Fatih and Kumru, a lawyer from different cities, team up for a case involving a cheating spouse. They spend 8 hours racing around Izmir gathering evidence, unexpectedly altering their plans and lives.",,,,,,,,,
701, Something in the Water,A group of five friends must fight for their lives in open water after a dream wedding turns into a nightmare.,,,,,,,,,
702, Nedelja,Life of Dzej Ramadanovski the popular Serbian folk singer.,,,,,,,,,
703, Do Patti,Twin sisters harbouring deep secrets and a determined police inspector seeking to uncover the truth in an attempted murder case.,,,,,,,,,
704, Swatantrya Veer Savarkar,"The life journey of Indian freedom fighter and reformer Vinayak Damodar Savarkar, popularly known as Veer Savarkar.",,,,,,,,,
705, High Tide,"Heartbroken and adrift, undocumented Brazilian immigrant Lourenço searches for purpose in the queer mecca of Provincetown. As the summer season comes to a fade, he sparks an intense and unexpected romance with Maurice. Together, the two reconcile the pasts they've left behind and their uncertain futures.",,,,,,,,,
706, Hatiran Yeter,"The story starts from the fact that the world is a silent place for the hearing-impaired Baha. However, his life changes when he meets someone with a similar condition named Leyla. Leyla opens a way for Baha to rediscover the world, and this love turns into Baha's greatest challenge.",,,,,,,,,
707, War of the Worlds: Extinction,"When a rogue general from the planet Emios attacks Earth, a team of archeologists must track down an ancient artifact that can prevent extinction.",,,,,,,,,
708, The Contract,"Following up on a murder investigation, failed journalist Giuseppe falls into the trap of the devil.",,,,,,,,,
709, Luther: Never Too Much,"Chronicles the life of an iconic musical performer, from childhood musical talent to worldwide fame. Explores his collaborations, influences, character and relationships with family, friends and fans.",,,,,,,,,
710, The Great Ambition,"Follows the life of the great and popular political leader Enrico Berlinguer, who almost led Italy's Communist Party into power in 1978.",,,,,,,,,
711, Lesson Learned,"Young teacher Juci rebels against archaic school methods as Palkó, a new foreign student, struggles to adapt to Hungary's demanding education system. Their stories mirror societal oppression.",,,,,,,,,
712, Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.",,,,,,,,,
713, Everybody Loves Touda,"Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son.",,,,,,,,,
714, All the Long Nights,"Misa, battling PMS and stigma, starts anew at Kurita Optics. Amidst work and sweets, she meets Takatoshi. Despite his quiet demeanor and struggle with panic attacks, a deep bond forms.",,,,,,,,,
715, Chosen Family,"Yoga teacher Ann is trying to find inner peace despite having a manic family, a miserable dating life, and an inability to say no that keeps her busy trying to fix everyone else's problems.",,,,,,,,,
716, Home Sweet Loan,"Kaluna, the youngest child living at home with her extended family, dreams of having her own home. However, family problems come and hinder Kaluna's plans and force her to choose between her family and her dreams.",,,,,,,,,
717, The Wages of Fear,"In order to prevent a deadly explosion, an illicit crack team has 24 hours to drive two truckloads of nitroglycerine across a desert laden with danger.",,,,,,,,,
718, Memory Lane,"A bitter-aged man reluctantly drives to Spain to pay a last visit to a dying friend, along with his wife who's suffering from dementia. But as their journey unfolds, he slowly starts to soften up and rediscovers the meaning of love.",,,,,,,,,
719, The Menendez Brothers,"In 1996, the Menendez brothers faced trial for killing their parents, a case that captivated America. Years later, they share their side through interviews with those involved, offering a fresh take on the events.",,,,,,,,,
720, Given the Movie: Hiiragi Mix,Hiiragi Mix takes place after the events of the Eiga Given and is mainly focused on the relationship between Mafuyu's childhood friends Hiiragi Kashima and Shizusumi Yagi.,,,,,,,,,
721, Depravity,"A group of tenants, suspecting that their neighbor could be is a serial killer, stumble upon an art heist worth millions.",,,,,,,,,
722, The Front Room,"It tells the story of a newly pregnant couple who are forced to take in an ailing, estranged stepmother.",,,,,,,,,
723, Crew,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.,,,,,,,,,
724, Given 3: To the Sea,"The final installment of the Given series, Given 3 takes place after the events of Hiiragi Mix and focuses on the continuing relationships between the core characters.",,,,,,,,,
725, The Merry Gentlemen,"To save her parents' small-town performing venue, a former big-city dancer decides to stage an all-male, Christmas-themed revue.",,,,,,,,,
726, Auron Mein Kahan Dum Tha,"After 20 years in prison, a man reunites with his lost love and the truth behind his crimes is revealed.",,,,,,,,,
727,1978,"During the World Cup final between Argentina and Holland, in times of military dictatorship, a group of torturers kidnap a group of young people. What begins as an inhumane interrogation turns into hell: the wrong group has been kidnapped.",,,,,,,,,
728, Thank You for Banking with Us,"When their father passes away leaving a large sum of money in the bank, two sisters put their differences aside and join forces against Sharia law, according to which their brother has the right to take double what they are entitled to.",,,,,,,,,
729, Where Is Gilgamesh?,"A priceless tablet of Gilgamesh, the oldest and most important work of literature is stolen from a Museum. A security guard vows to do whatever it takes to get it back from a group of smugglers. Along the way, he face his own inner demons.",,,,,,,,,
730, Bhakshak,Revolves around the journey of an unwavering woman's quest to seek justice and her perseverance in getting a heinous crime to light.,,,,,,,,,
731, Utopia,"Soldier investigates wife's disappearance, infiltrates facility believing she's trafficked. Discovers facility is futuristic fantasy park blurring reality and illusion, complicating his search for truth about her fate.",,,,,,,,,
732, The Time of Fever,"Childhood friends Ho Tae and Dong Hee reunite after years. Dong Hee harbors feelings for Ho Tae, who experiences new emotions toward her but dates girls. An incident strains their relationship dynamics.",,,,,,,,,
733, Boys Go to Jupiter,"A teenager in suburban Florida desperately hustles to make $5,000 in this dreamy and surreal animated coming-of-age story.",,,,,,,,,
734, Pegasus 2,"A former rally driving champion, now down on his luck, finds new partners to re-enter a famed rally race.",,,,,,,,,
735, Tyler Perry's Divorce in the Black,Ava's husband Dallas leaves her heartbroken as he abandons their marriage.,,,,,,,,,
736, 11 Rebels,"Amidst the Boshin War's brutal conflicts, a motley squad of criminals and samurai undertakes a desperate defense of a fortress, their stand triggered by clashing interests of the Shibata clan, the shogunate, and the new government.",,,,,,,,,
737, The Reunion,"A family comes together at their estate under the pretext of celebrating their grandma's birthday, but they have come to ship her off to a nursing home and vie for the share of an inheritance in her wake.",,,,,,,,,
738, Faith of Angels,A stranger receives mysterious callings compelling him to search for a boy lost in an abandoned mine.,,,,,,,,,
739, That Christmas,"It's an unforgettable Christmas for the townsfolk of Wellington-on-Sea when the worst snowstorm in history alters everyone's plans, including Santa's.",,,,,,,,,
740, Katas,"Carmina works as a maid in a mansion and soon learns about the dirty secret of their masters, Alex and Grace.",,,,,,,,,
741, Jingle Bell Love,Widower Jack Cooper's daughter schemes to set him up with a charming local during their Christmas visit to his late wife's hometown.,,,,,,,,,
742, Let Go,"Stella juggles demands of young son, moody teen daughter, and distant husband. Chaos ensues until a message prompts a family trip where she must overcome challenges to reunite them.",,,,,,,,,
743, Thalavan,"Retired Dysp Udhayabhanu narrates events of his professional life in a TV program. He reveals the intriguing details of the 'Chepanamthota case', a milestone event in his career.",,,,,,,,,
744, The Balconettes,Three women in a Marseille apartment get stuck in a heat wave. They find themselves trapped in a terrifying affair and longing for freedom.,,,,,,,,,
745, Niko: Beyond the Northern Lights,Niko is a flying reindeer boy whose biggest dream is to become a member of Santa's flying forces. But instead he loses Santa's sleigh and during pursuit to get it back he learns the importance of friendship and doing things your own way.,,,,,,,,,
746, Baby,"After his release from a juvenile center, Wellington finds himself homeless in São Paulo. At a porn theater, he meets Ronaldo, who mentors him in street survival. Their bond evolves into a turbulent affair.",,,,,,,,,
747, Sahbek Rajel,"Two cops - one reckless, one family-oriented and honest - become partners, leading to action-packed and comedic situations.",,,,,,,,,
748, Buffalo Kids,"Two Irish orphans journey by train across America, encountering villains and heroes. They make an extraordinary friend and search for a new home, facing adventures and dangers along the way.",,,,,,,,,
749, Bull Run,"In the wilds of Wall Street, one junior banker discovers that the only thing more dangerous than billion-dollar deals are the men signing them.",,,,,,,,,
750, Vicky Vidya Ka Woh Wala Video,"A newly married couple's relationship and reputation are put at risk when their private video CD is stolen. The story follows their roller coaster journey to recover the CD, navigating a series of unexpected difficulties along the way.",,,,,,,,,
751, Jigra,"When Ankur is wrongfully imprisoned and sentenced to death in a foreign country, his steely sister Satya is driven by a lethal resolve to break him free.",,,,,,,,,
752, The Bloody Hundredth,It honors the heroes of the 100th Bomb Group.,,,,,,,,,
753, Sikandar Ka Muqaddar,"After an unsolved diamond heist, a hard-nosed cop's pursuit of his key suspect turns into obsession, until they finally face each other and the truth.",,,,,,,,,
754, Within the Pines,"As sound recordist Sam Evans treks through an isolated forest, his mic picks up a sound no one wants to hear while alone in the woods.",,,,,,,,,
755, A Game of Two Halves,"When Sanjay, a young British student finds himself in India teaching football to poor children he is unaware of the journey of self-discovery he is about to embark on.",,,,,,,,,
756, Kiskisan,"Steamy tale of love, lust, and betrayal. When Adele's sister Bea returns with her girlfriend Cheska, a secret affair begins between Cheska and Adele's boyfriend, Rener, leading to a climactic ending when they're caught.",,,,,,,,,
757, French Girl,"Gordon Kinski, a high school teacher from Brooklyn, goes with his girlfriend and chef Sophie Tremblay to her hometown of Quebec City where she is testing for the Michelin 3-star restaurant of super-chef Ruby Collins.",,,,,,,,,
758, Bougainvillea,A family entangled in a police investigation surrounding the mysterious disappearance of tourists in Kerala.,,,,,,,,,
759, The Clean Up Crew,"When a crime scene cleanup crew discovers a briefcase full of money, they are unwittingly sent into a battle with a ruthless and corrupt crime boss, mobsters, hitmen, and corrupt government agents who are hell-bent on getting it back.",,,,,,,,,
760, Brats,Centers on 1980s films starring the 'Brat Pack' and their profound impact on the young stars' lives.,,,,,,,,,
761, The Backrooms,"After discovering the myth and legend of the Backrooms, a group of friends enter into Earth's darkest corners to find them - unknown to the danger they'd encounter. Now it's up to them to escape their own prison and avoid a fake reality.",,,,,,,,,
762, Following,"A mystery thriller about a real estate agent who secretly enters clients' homes and becomes obsessed with a deceptive social media influencer. The film explores themes of obsession, identity and the dark side of social media.",,,,,,,,,
763, Butas,Witness how lives of four young people who have various sexual quirks and inhibitions intertwine as they live together in a snug boarding house.,,,,,,,,,
764, Bhool Bhulaiyaa 3,"Ruhaan, a fraudster posing as an exorcist, takes on a lucrative case at a haunted castle, unraveling a sinister plot involving mischievous priests, culminating in a hilarious yet thrilling ride filled with unexpected twists and scares.",,,,,,,,,
765, Premalu,"Sachin's quest for love takes unexpected turns, creating a laughter-filled love triangle.",,,,,,,,,
766, Mai,"Restlessly haunted by the past, Mai is greeted by a new dawn when she reluctantly befriends the neighborhood ladies' man. But when her yesterday catches up to her today, what will become of her tomorrow?",,,,,,,,,
767, The Train of Death,"Bloody terror wiped out the Sangkara Train carriages one by one, putting passengers at risk of life and death.",,,,,,,,,
768, Daddy's Head,A boy and his stepmother fear for their safety after an eerie creature resembling the boy's recently deceased father visits them.,,,,,,,,,
